ID,Priority,Area,Chrome vs Mimic,Extent and status,Evidence
A01,P0,Snapshot / lifecycle,Повторные страницы работают → native access violation,Один сбой после 15 завершённых page-проб; стек `SnapshotCreator.CreateBlob → buildBootstrapSnapshot`. Частота и первопричина не установлены; process-per-probe не падает,"`mimic-sweep.err`, `sweep/`"
A02,P1,Часы внутри синхронной задачи,CPU loop: 70–81 мс → `performance.now()` и `Date.now()` дают delta 0/0,"Повторено с CDP awaitPromise false и true, оба Chrome режима. Это не просто отличие квантования","`sweep-clock-await-false/`, `sweep-clock-await-true/`, `sweep-confirm/`"
A03,P1,Контекст цепочки redirect,После cross-site перехода Strict не отправляется → отправляется; в POST307 также лишний Lax,GET302 / POST303 / POST307; Sec-Fetch-Site cross-site → same-origin; Origin POST307 null → исходный origin. Общая группа request-chain state,`corpus/report.json`: samesite-navigation
A04,P1,CORS,Fetch без ACAO между localhost / 127.0.0.1 отклонён TypeError → доступен ответ 200 basic,Свежая независимая локальная проба; не вывод о всех CORS-режимах,`relations/report.json`
A05,P1,History state,"Сериализованная копия; функция даёт DataCloneError → сохранена исходная ссылка, функция принимается",Изменение input меняет history.state в Mimic; нарушены clone/identity/error semantics,`relations/report.json`; `internal/browser/history.go`
A06,P1,Старый realm после navigation,Сохранённый старый Document доступен → unavailable,Повторено existing oracle; проблема владения/lifetime,`extended/`: document_all_navigation
A07,P1,Cross-realm borrowed method,"Parent HTMLAllCollection.prototype.item.call(child.document.all, 0) работает → Illegal invocation","Отличать от обычного вызова child.document.all.item, который уже реализован",`relations/report.json`
A08,P1,Cross-realm prototype identity,После setPrototypeOf в owner realm импортированный объект видит новый prototype → старый,При этом чтение marker работает в обоих: projections расходятся,`relations/report.json`
A09,P1,Cross-realm construction,Reflect.construct с другим realm/newTarget работает → unsupported,"Существующий ограниченный bridge, не новая ошибка document.all",`extended/`: cross_realm_construct; `internal/browser/frame_document_bridge.go`
A10,P1,WebIDL receiver checks,TypeError на неверном receiver → реальные значения в 57 getters; ещё 4 обратных различия,"Например Element.children/classList, Navigator.vendor/languages, Screen.width. Нельзя просто запретить все receivers: есть lenient-this случаи","`brand/report.json`, `brand-repeat/report.json`"
A11,P2,WebIDL operation shape,228 общих методов нельзя использовать как newTarget → можно,Не 228 независимых реализаций: большая общая группа формы bindings; дополнительно 8 method.length,`brand/report.json`; `tools/generate_compat.py`
A12,P3,Stub getter receiver checks,TypeError → undefined в 223 общих getters,В основном stub surface; ниже исправлений существующей функциональности,`brand/report.json`
A13,P2,HTTP/1.1 headers,"Connection keep-alive → отсутствует; Priority отсутствует → u=1, i",Шесть локальных запросов. Redirect method/body и reuse совпали. Не переносить вывод на TLS/H2/H3,`corpus/report.json`: network
A14,P2,ReadableStream encapsulation,"Нет внутренних own keys → доступны _state, _reader, _storedError, _disturbed, _readableStreamController",Наружу выходит состояние JS реализации,`sweep-isolated/comparison.json`
A15,P2,Placement / native representation,Другой владелец prototype properties; native fetch → JS source; именованный Date → анонимный,Document: лишние own firstChild/location/textContent; Element: nextSibling/previousSibling,`sweep-isolated/comparison.json`
A16,P2,Layout inline parent,Высота 18 → 1,В этой пробе fixed/absolute варианты совпали; не универсальная оценка layout,`sweep-isolated/comparison.json`
A17,P2,CSS initial values / supports,Иные computed defaults; true → undefined,138 initial-value diff и 51 CSS.supports diff в inventory. Группировать по CSS state/parser,`extended/summary.json`: CSS inventory
A18,P2,CSS mask shorthands,"Разные разбор/сериализация webkitMask, webkitMaskBoxImage, webkitMaskPosition",93 diff: 33 components + 30 cssText + 30 values,`extended/summary.json`
A19,P2,Font / SVG metrics,Разные измерения текста и геометрии,"SVG text 43 значения, max delta 2.5625; fallback 18, max 1; curve/circle length max ≈0.6097. Отдельно Canvas Arial 42.6875 → 38.4 в общем corpus",`extended/summary.json`; `corpus/report.json`: observations
A20,P2,ResourceTiming metadata,favicon initiatorType other → img; HTTP/1.0 nextHopProtocol http/1.0 → пусто,Численные длительности отдельно: они не должны совпадать точно,`sweep-isolated/comparison.json`
A21,P2,CDP rejected evaluation,exceptionDetails → protocol error,"Две Permissions-пробы. В JS try/await/catch name/message/tag совпали: это CDP projection, не ошибка Permissions exception semantics","`sweep-confirm/`, `sweep-isolated/comparison.json`"
A22,P2,Surface ownership,Worker имеет лишние createImageBitmap/fonts/onerror; GPUAdapter.isFallbackAdapter absent → false,Worker own names отличаются от обоих Chrome режимов; GPU duplicate не считать второй ошибкой,`sweep-isolated/comparison.json`
A23,P2,Малые value / descriptor ошибки,serviceWorker.controller null → undefined; maxLength -0 → отрицательный ноль; setter controlsList отсутствует,Также FontFaceSet.forEach.length 1 → 2; canvas нулевая ширина: отличается текст исключения,`sweep-isolated/`; `extended/`; `corpus/`
A24,P3,iframe.srcdoc,Вставленное содержимое доступно → отсутствует,"500 мс bound в отдельной пробе. Extended constructor-arguments timeout связан с srcdoc fixture, а не доказывает новый constructor bug",`relations/report.json`; `extended/`
A25,P3,Missing API,"Нет canPlayType, Wasm compileStreaming/instantiateStreaming и части Canvas/Offscreen API",Canvas: createConicGradient/createPattern/drawFocusIfNeeded/lang; Offscreen: convertToBlob/oncontextlost/oncontextrestored; Offscreen2D: createConicGradient/createPattern/lang,`corpus/`; `extended/`; `sweep-isolated/`
A26,P3,Audio,PCM отличается до 2.384185791015625e-7; setTargetAtTime unsupported,6825 PCM diff в пяти сценариях — малая численная группа; unsupported automation считать отдельно,`extended/summary.json`
A27,P3,WebGL extension inventory,В Chrome дополнительно 31 WebGL / 28 WebGL2 extensions,Экспонирование зависит от графического профиля; не задание добавить все имена без реализации,`extended/summary.json`
